seq	xt	in_code	name
0xdf	0x0000020c	0	LOADFILE
0xe2	0x00000214	0	MAXSTRING
0xe3	0x0000021c	0	MAX-PATH
0xe4	0x00000224	0	MAXCOUNTED
0xe6	0x0000022c	0	^IMAGE
0xeb	0x00000234	0	NEXT-SEQ
0xf3	0x00000240	0	DEFER-LIST
0xf7	0x00000248	0	FORTH
0xfd	0x000004c8	0	STC?
0x102	0x000004d8	0	ESI=OP
0x109	0x000004dc	0	&ORIGIN
0x10a	0x000004e4	0	&MAGIC
0x10b	0x000004ec	0	&APP-SIZE
0x10c	0x000004f4	0	&APP-ACTUAL
0x10d	0x000004fc	0	&SYS-SIZE
0x10e	0x00000504	0	&SYS-ACTUAL
0x10f	0x0000050c	0	&SYS-SEPARATION
0x110	0x00000514	0	&ENTRY
0x111	0x0000051c	0	&TABLE
0x112	0x00000524	0	&HINST
0x113	0x0000052c	0	&CMDLEN
0x114	0x00000534	0	&CMDADR
0x115	0x0000053c	0	&HCON
0x116	0x00000544	0	&EXCEPT
0x117	0x0000054c	0	&EXREC
0x118	0x00000554	0	&EXRSTK
0x119	0x0000055c	0	&UNLOAD-FORTH
0x11a	0x00000564	0	&DLLINIT
0x11b	0x0000056c	0	&DLL-CALLBACK
0x11c	0x00000574	0	&MESSAGE-CALLBACK
0x11d	0x0000057c	0	&WINMESSAGE-CALLBACK
0x126	0x00000584	0	DOCOL
0x127	0x0000058c	0	DOCON
0x128	0x00000594	0	DODOES
0x129	0x0000059c	0	DOVAR
0x12a	0x000005a4	0	DODEFER
0x12b	0x000005ac	0	DO2VALUE
0x12c	0x000005b4	0	DO2VALUE!
0x12d	0x000005bc	0	DO2VALUE+!
0x12e	0x000005c4	0	DOVALUE
0x12f	0x000005cc	0	DOVALUE!
0x130	0x000005d4	0	DOVALUE+!
0x131	0x000005dc	0	DOUSER
0x132	0x000005e4	0	DOOFF
0x133	0x000005ec	0	DOOBJ
0x136	0x000005f4	1	_EXIT
0x13e	0x00000600	1	UNNEST
0x145	0x0000060c	1	NEST
0x14d	0x0000061c	1	EXECUTE
0x158	0x0000062c	1	PERFORM
0x164	0x00000640	1	NOOP
0x168	0x00000648	1	UNLOOP
0x173	0x00000668	1	I
0x179	0x00000680	1	J
0x17f	0x00000698	1	K
0x185	0x000006b0	1	LEAVE
0x18d	0x000006c0	1	?LEAVE
0x1e9	0x000007f4	1	RP@
0x1f1	0x00000800	1	RP!
0x1fa	0x0000080c	1	>R
0x202	0x0000081c	1	R>
0x20a	0x0000082c	1	R@
0x212	0x00000838	1	DUP>R
0x218	0x00000844	1	R>DROP
0x21d	0x0000084c	1	2>R
0x226	0x00000860	1	2R>
0x22f	0x00000874	1	2R@
0x271	0x00000960	0	CELL
0x272	0x00000968	0	-CELL
0x2aa	0x00000a3c	1	MOVE
0x2cc	0x00000a84	1	FILL
0x2ec	0x00000ab8	1	ERASE
0x2ef	0x00000adc	1	CMOVE
0x2ff	0x00000b04	1	CMOVE>
0x339	0x00000bb4	0	TRUE
0x33a	0x00000bbc	0	FALSE
0x385	0x00000ce0	0	0
0x386	0x00000ce8	0	1
0x3ac	0x00000d84	1	UM*
