seq	xt	in_code	name
0x3b5	0x00000da0	1	UM/MOD
0x3c0	0x00000dbc	1	WORD-SPLIT
0x3c9	0x00000dd8	1	WORD-JOIN
0x44d	0x00000f88	1	BETWEEN
0x459	0x00000fac	1	WITHIN
0x49e	0x000010a8	1	3DUP
0x4a2	0x000010dc	1	4DUP
0x4b7	0x00001130	1	DNEGATE
0x4bf	0x0000114c	1	DABS
0x4d0	0x00001184	1	D=
0x4e6	0x000011e0	1	D>
0x4ea	0x00001200	1	D<>
0x4ee	0x00001220	1	DMIN
0x4f2	0x00001254	1	DMAX
0x4f8	0x00001288	1	M*
0x501	0x000012a4	1	*
0x509	0x000012c0	1	SM/REM
0x513	0x000012dc	1	FM/MOD
0x52b	0x0000130c	1	/MOD
0x545	0x00001340	1	/
0x548	0x00001360	1	MOD
0x54b	0x0000137c	1	*/MOD
0x562	0x000013ac	1	*/
0x568	0x000013cc	0	USERSIZE
0x56a	0x000013d4	0	NEXT-USER
0x570	0x000013dc	0	CONUSER
0x57f	0x0000240c	0	RP0
0x580	0x00002414	0	SP0
0x581	0x0000241c	0	STATUS
0x582	0x00002424	0	FOLLOWER
0x583	0x0000242c	0	TOS
0x585	0x00002434	0	HANDLER
0x586	0x0000243c	0	LP
0x587	0x00002444	0	OP
0x588	0x0000244c	0	BASE
0x589	0x00002454	0	HLD
0x58b	0x0000245c	0	PAD
0x58d	0x00002464	0	MSG
0x58f	0x0000246c	0	USEREXTRA
0x590	0x00002474	0	USERMIN
0x594	0x0000247c	0	POCKET
0x595	0x00002584	0	CUR-FILE
0x596	0x0000268c	0	TEMP$
0x597	0x00002794	0	FIND-BUFFER
0x599	0x0000289c	0	DP
0x59a	0x000028a4	0	SDP
0x59c	0x000028ac	0	#VOCS
0x59e	0x000028b4	0	CONTEXT
0x59f	0x000028fc	0	CURRENT
0x5a0	0x00002904	0	LAST
0x5a1	0x0000290c	0	LAST-LINK
0x5a2	0x00002914	0	VOC-LINK
0x5a4	0x0000291c	0	SOURCE-ID
0x5a5	0x0000292c	0	SOURCE-POSITION
0x5a9	0x0000293c	0	TIB
0x5ac	0x00002a44	0	(SOURCE)
0x5b0	0x00002a50	0	#TIB
0x5b5	0x00002a58	0	>IN
0x5b6	0x00002a60	0	STATE
0x5b7	0x00002a68	0	WARNING
0x5b8	0x00002a70	0	CAPS
0x5ba	0x00002a78	0	.SMAX
0x5bc	0x00002a80	0	LOADLINE
0x5bd	0x00002a88	0	?LOADING
0x5c1	0x00002a90	0	BL
0x5c3	0x00002a98	1	BLANK
0x5db	0x00002b10	1	"CLIP"
0x5de	0x00002b38	1	PLACE
0x5df	0x00002b8c	1	+PLACE
0x5e1	0x00002bf4	1	-TRAILCHARS
0x5ef	0x00002c1c	1	-TRAILING
0x5f2	0x00002c40	1	-NULLS
0x5fc	0x00002c64	1	/STRING
0x65a	0x00002c88	1	XCALL
0x663	0x00002ca4	1	_BYE
0x666	0x00002ccc	1	INIT-CONSOLE
0x66e	0x00002d20	1	INIT-SCREEN
0x672	0x00002d48	1	SIZESTATE
0x675	0x00002d6c	1	EKEY
0x678	0x00002d90	1	_ACCEPT
0x67c	0x00002db8	1	_EMIT
0x67f	0x00002ddc	1	_TYPE
0x682	0x00002e08	1	_CR
0x685	0x00002e2c	1	_CLS
0x688	0x00002e50	1	EKEY?
0x68b	0x00002e74	1	_?CR
0x68e	0x00002e98	1	_MALLOC
0x691	0x00002ebc	1	_FREE
0x694	0x00002ee0	1	&START-NAME
0x699	0x00002f04	1	FOPEN-FILE
0x69c	0x00002f38	1	FMAKE-FILE
0x69f	0x00002f68	1	FCLOSE-FILE
0x6a2	0x00002f8c	1	FREAD-LINE
0x6a6	0x00002fe8	1	FREAD-FILE
0x6a9	0x00003018	1	FSEEK-FILE
0x6ac	0x0000303c	1	FREPOSITION-FILE
0x6af	0x00003068	1	FSAVE-FILE
0x6ba	0x000030dc	1	FFILE-POSITION
0x6bd	0x00003114	1	_GOTOXY
0x6c0	0x0000313c	1	_GETXY
0x6c3	0x00003164	1	_GETCOLROW
0x6c6	0x0000318c	1	TONE
0x6c9	0x000031b4	1	BEEP!
0x6cc	0x000031dc	1	PRINT-ORIENTATION
0x6cf	0x00003200	1	UPC
0x6d2	0x00003234	1	UPPER
0x6d5	0x00003260	1	LOWER
0x6d9	0x0000328c	1	UPPERCASE
0x6dc	0x000032bc	1	?UPPERCASE
0x6f1	0x00003310	1	MARKCONSOLE
0x6f6	0x00003334	0	BYE
0x6f7	0x00003344	0	KEY
0x6f8	0x00003354	0	ACCEPT
0x6f9	0x00003364	0	EMIT
0x6fa	0x00003374	0	TYPE
0x6fb	0x00003384	0	CR
0x6fc	0x00003394	0	CLS
0x6fd	0x000033a4	0	KEY?
0x6fe	0x000033b4	0	?CR
0x6ff	0x000033c4	0	CONSOLE
0x700	0x000033d4	0	GOTOXY
0x701	0x000033e4	0	GETXY
0x702	0x000033f4	0	GETCOLROW
0x703	0x00003404	0	MS
0x70a	0x00003414	0	DOCALL
0x726	0x0000342c	1	DIGIT
0x738	0x00003464	1	>NUMBER
0x764	0x000034d0	0	DOUBLE?
0x766	0x000034e0	0	DP-LOCATION
0x76a	0x000034f0	1	NUMBER?
0x784	0x00003654	1	?MISSING
0x787	0x00003684	1	(NUMBER)
0x78b	0x000036cc	0	NUMBER
0x78f	0x000036dc	1	SPACE
0x792	0x00003708	0	SPCS-MAX
0x794	0x00003710	0	SPCS
0x797	0x00003794	1	SPACES
0x79e	0x000037e8	1	_COL
0x7a1	0x0000381c	0	COL
0x7a3	0x0000382c	1	#TAB
0x7a8	0x00003870	1	NFA-COUNT
0x7b1	0x0000388c	1	.ID
0x7b4	0x000038bc	1	DECIMAL
0x7b5	0x000038e4	1	HEX
0x7b6	0x0000390c	1	BINARY
0x7b7	0x00003934	1	OCTAL
0x7b9	0x0000395c	1	HOLD
0x7c1	0x00003978	1	<#
0x7c4	0x000039a0	1	#>
0x7c7	0x000039d4	1	SIGN
0x7ca	0x00003a04	1	#
0x7e0	0x00003a44	1	#S
0x7e1	0x00003a78	1	(D.)
0x7e2	0x00003ab4	1	D.
0x7e3	0x00003ae4	1	D.R
0x7e4	0x00003b2c	1	.
0x7e5	0x00003b4c	1	.R
0x7e6	0x00003b7c	1	U.
0x7e7	0x00003ba0	1	U.R
0x7e8	0x00003bc8	1	H.
0x7e9	0x00003c00	1	?
0x7ed	0x00003c20	1	SOURCE
0x7ef	0x00003c44	1	WORD
0x833	0x00003cf4	1	PARSE
0x887	0x00003e9c	0	[UNKNOWN]
0x88b	0x00003ea4	1	?THREAD
0x89d	0x00003ee0	1	_>NAME
0x8b3	0x00003f9c	0	>NAME
0x8be	0x00003fd8	1	>VIEW
0x8c6	0x00004018	1	N>OFA
0x8cb	0x00004050	1	>OFA
0x8d0	0x00004078	0	LATEST-NFA
0x8d2	0x00004080	1	SEARCH-1WORDLIST
0x8fb	0x000040f0	1	"#HASH
0x913	0x0000412c	1	_SEARCH-WORDLIST
0x916	0x0000416c	0	NAME-MAX-CHARS
0x918	0x0000417c	1	SEARCH-WORDLIST
0x922	0x000041d8	1	(FIND)
0x931	0x00004288	1	CAPS-FIND
0x939	0x000042e0	0	FIND
0x93b	0x000042f0	1	DEFINED
0x946	0x00004338	0	HERE
0x953	0x00004378	0	VEC-ALLOT
0x95a	0x000043a0	1	SYS-ORIGIN
0x95d	0x000043c0	1	?MEMCHK
0x964	0x00004494	1	ALLOT
0x970	0x000044ec	0	,
0x982	0x00004544	0	C,
0x995	0x0000459c	0	W,
0x9a0	0x000045d0	0	SYS-WARNING?
0x9a2	0x000045e0	1	SYS-WARNING-OFF
0x9a5	0x00004600	1	SYS-WARNING-ON
0x9a8	0x00004620	1	?SYS-ADDRESS
0x9b7	0x00004770	0	IN-SYSTEM?
0x9c5	0x000047b0	0	ALIGN
0x9dc	0x0000481c	0	COMPILE,
0x9de	0x0000482c	0	COMPILE
0x9e0	0x0000483c	1	IN-APPLICATION
0x9eb	0x000048ac	1	IN-SYSTEM
0x9f6	0x0000491c	1	>SYSTEM
0x9f9	0x00004954	1	SYSTEM>
0x9fe	0x00004994	1	>APPLICATION
0xa01	0x000049cc	1	APPLICATION>
0xa09	0x00004a08	0	LAST-LITERAL-TAIL
0xa0b	0x00004a18	0	B/LITERAL
0xa13	0x00004a80	1	RESET-UN-LITERAL
0xa14	0x00004aa0	1	?UN-LITERAL
0xa1d	0x00004b14	1	STR,
0xa20	0x00004b58	1	X,
0xa29	0x00004b80	0	NEST-X
0xa2a	0x00004b88	0	B/NEST-X
0xa2c	0x00004b90	1	,NEST
0xa33	0x00004bb8	0	B/UNNEST-X
0xa36	0x00004bc0	0	LAST-COMPILE,-TAIL
0xa37	0x00004bd0	0	LAST-COMPILE,-LEN
0xa38	0x00004be0	0	LAST-COMPILE,-XT
0xa39	0x00004bf0	1	RESET-UN-COMPILE,
0xa3a	0x00004c10	1	?UN-COMPILE,
0xa47	0x00004c98	1	SET-UN-COMPILE,
0xa4d	0x00004cd0	1	NOOP-?OPT-COMPILE,
0xa4e	0x00004cf0	0	?OPT-COMPILE,
0xa51	0x00004d00	0	FIXED-DOXXX?
0xa57	0x00004d10	0	LAST-COMPILE,-XT
0xa58	0x00004d20	0	EXEC:-ING?
0xa59	0x00004d30	0	B/COMPILE,
0xa5a	0x00004d38	1	NORM-COMPILE,
0xa65	0x00004df4	1	FIXED-DOXXX-COMPILE,
0xa70	0x00004e80	1	_OFA@
0xa71	0x00004ea0	0	OFA@
0xa74	0x00004eb0	0	OPT?
0xa75	0x00004eb8	1	OPT-ON
0xa76	0x00004edc	1	OPT-OFF
0xa78	0x00004f00	1	_COMPILE,
0xaa0	0x000050c4	1	_COMPILE
0xaaf	0x00005108	1	IMMEDIATE
0xab2	0x00005130	1	HIDE
0xab5	0x00005160	1	REVEAL
0xab9	0x00005190	1	CHAR
0xabf	0x000051d8	1	'
0xad2	0x000052a4	0	\N->CRLF
0xad4	0x000052b4	1	,"
0xade	0x00005348	1	(("))
0xaea	0x00005370	0	NEW$
0xaec	0x00005380	1	(C")
0xaf7	0x0000541c	1	(S")
0xb02	0x000054c0	1	(.")
0xb0a	0x00005524	1	CATCH
0xb17	0x000055bc	1	THROW
0xb22	0x00005644	1	ABORT
0xb25	0x00005668	1	(ABORT")
0xb31	0x000056e0	1	?EXEC
0xb32	0x0000571c	1	?COMP
0xb33	0x0000575c	1	RESET-OPT
0xb35	0x0000577c	1	?PAIRS
0xb37	0x000057bc	1	>MARK
0xb39	0x000057e0	1	>RESOLVE
0xb3b	0x0000581c	1	ABS->RESOLVE
0xb3c	0x00005850	1	<MARK
0xb3e	0x00005874	1	<RESOLVE
0xb3f	0x000058b4	1	<RESOLVE-SHORT
0xb6e	0x00005928	1	CMP-BRANCH
0xb74	0x0000597c	1	CMP#-BRANCH
0xb81	0x00005a64	1	>=
0xb82	0x00005a84	1	<=
0xba2	0x00005acc	1	?BRANCH
0xbbd	0x00005c4c	1	?BRANCH-SHORT
0xbc0	0x00005c90	1	BRANCH
0xbc1	0x00005cb4	1	BRANCH-SHORT
0xbd0	0x00005e00	1	SHORT-OFFSET?
0xc83	0x000066f4	1	LINK,
0xc86	0x00006738	1	SYS-LINK,
0xc89	0x0000676c	1	VIEW,
0xc8f	0x000067b0	0	OFA-LAST
0xc91	0x000067c0	1	"NAME,
0xcaa	0x00006970	1	_"HEADER
0xcb2	0x000069f8	0	"HEADER
0xcb4	0x00006a08	1	_HEADER
0xcb8	0x00006a48	0	HEADER
0xcbb	0x00006a58	1	CREATE
0xcbe	0x00006a90	1	ALIAS
0xcc3	0x00006ac4	0	CSP
0xcc5	0x00006acc	1	!CSP
0xcc8	0x00006af0	1	?CSP
0xccc	0x00006b34	1	CALL,
0xcd1	0x00006b80	1	(;CODE)
0xcd4	0x00006bb0	1	#(;CODE)
0xcd7	0x00006bd8	1	_]
0xcda	0x00006bfc	1	_[
0xcdd	0x00006c20	0	]
0xce0	0x00006c40	0	?:M
0xce1	0x00006c50	0	PARMS
0xce3	0x00006c60	1	PARMS-INIT
0xceb	0x00006c94	0	B/NEST-X
0xced	0x00006c9c	1	,NEST
0xcf1	0x00006cc0	1	:NONAME
0xcf5	0x00006d20	0	CURRENT-COLON-CFA
0xcf7	0x00006d30	1	_:
0xd00	0x00006da8	0	:
0xd07	0x00006dec	1	CONSTANT
0xd0a	0x00006e30	1	VARIABLE
0xd0d	0x00006e60	1	USER
0xd10	0x00006ea4	1	DEFER
0xd17	0x00006f0c	1	NEWUSER
0xd1c	0x00006f44	1	.USERSIZE
0xd2d	0x00007004	1	DEFINITIONS
0xd30	0x00007028	1	2CONSTANT
0xd3a	0x00007074	1	2VARIABLE
0xd3f	0x000070a4	1	@(IP)
0xd4b	0x000070d4	1	(IS)
0xd4d	0x000070f8	1	?IS
0xd5c	0x000071e4	1	VALUE
0xd64	0x00007250	1	?TO_CHECK
0xd8d	0x00007410	1	DEPTH
0xd95	0x0000742c	1	?STACK
0xd98	0x0000746c	1	QUERY
0xd9d	0x000074c8	1	_NUMBER,
0xda4	0x00007524	0	NUMBER,
0xda5	0x00007534	0	SAVE-SRC
0xda6	0x00007544	0	?UNSAVE-SRC
0xda8	0x00007554	1	_INTERPRET
0xdb6	0x00007610	0	INTERPRET
0xdba	0x00007620	1	EVALUATE
0xdca	0x000076e0	1	WINPAUSE
0xdcf	0x00007704	0	ECHO
0xdd1	0x0000770c	1	?.REFILL
0xdd7	0x00007760	0	.REFILL
0xdda	0x00007770	0	LEN-PREV
0xddc	0x00007780	1	REFILL
0xdf6	0x000078b0	1	LINKFILE
0xdfe	0x00007908	0	STACK-CHECK
0xe00	0x00007918	0	START-LINE
0xe02	0x00007920	0	INCLUDING?
0xe04	0x00007930	1	>LINE
0xe0a	0x00007990	1	DO-INCLUDE
0xe1d	0x00007a68	0	DEFEXTMAX
0xe1e	0x00007a70	0	DEFEXT$
0xe21	0x00007a88	0	EXT_ADDED?
0xe24	0x00007a90	0	DEFEXT_ON?
0xe27	0x00007a98	1	DEFEXT
0xe2a	0x00007ad4	0	OPENBUF
0xe2d	0x00007bdc	1	"TO-PATHEND"
0xe36	0x00007c70	1	?DEFEXT
0xe45	0x00007d2c	1	_"OPEN
0xe4e	0x00007dac	0	"OPEN
0xe51	0x00007dbc	1	$OPEN
0xe55	0x00007de4	0	START-INCLUDE
0xe56	0x00007df4	0	END-INCLUDE
0xe58	0x00007e04	1	INCLUDE-FILE
0xe7c	0x00007fd4	1	INCLUDED
0xe7f	0x0000801c	1	FLOAD
0xe82	0x00008048	1	SYS-FLOAD
0xe87	0x000080a0	1	INCLUDE
0xe8a	0x000080bc	1	OK
0xe93	0x0000810c	0	EDIT-ERROR
0xe95	0x0000811c	1	_RESET-STACKS
0xe98	0x00008140	0	RESET-STACKS
0xe9a	0x00008150	1	_MESSAGE
0xead	0x000082c8	0	MESSAGE
0xeaf	0x000082d8	1	QUERY-INTERPRET
0xeb1	0x00008308	1	_QUIT
0xec3	0x0000842c	1	DOCMDTAIL
0xec6	0x00008454	1	/IMAGE
0xec9	0x00008478	0	QUIT
0xeca	0x00008488	0	COMMANDLINE
0xecb	0x00008498	0	BOOT
0xed0	0x000084a8	1	COLD
0xeeb	0x0000863c	1	DLLCOLD
0xef1	0x00008674	1	SKIP
0xf03	0x000086a0	1	SCAN
0xf15	0x000086cc	1	WSKIP
0xf27	0x000086f8	1	WSCAN
0xf39	0x00008724	1	LSKIP
0xf4d	0x00008754	1	LSCAN
0xf61	0x00008780	1	-SCAN
0xf77	0x000087ac	1	-SKIP
0xf90	0x000087d8	1	COMPARE
0xfb8	0x00008828	1	SEARCH
0xfe3	0x000088a0	1	LARGEST
0xff6	0x000088d0	1	CELL-SORT
0x100c	0x00008908	1	BYTE-SORT
0x1025	0x00008940	1	+OV?
0x104b	0x0000898c	0	DOLOCAL
0x104c	0x00008994	0	DOLOCAL!
0x104d	0x0000899c	0	DOLOCAL+!
0x104f	0x000089a4	0	LOCAL0
0x1050	0x000089b4	0	LOCAL1
0x1051	0x000089c4	0	LOCAL2
0x1052	0x000089d4	0	LOCAL3
0x1053	0x000089e4	0	LOCAL4
0x1054	0x000089f4	0	LOCAL5
0x1055	0x00008a04	0	LOCAL6
0x1056	0x00008a14	0	LOCAL7
0x1057	0x00008a24	0	LOCAL8
0x1058	0x00008a34	0	LOCAL9
0x1059	0x00008a44	0	LOCAL10
0x105a	0x00008a54	0	LOCAL11
0x105d	0x00008a64	1	UNNESTP
0x106b	0x00008a78	1	EXITP
0x1078	0x00008a8c	1	INIT-UNINIT-LOCALS
0x1084	0x00008aa4	1	INIT-IN-LOCALS
0x1096	0x00008ac8	1	INIT-LOCALS
0x10ad	0x00008af0	0	#-LOCALS
0x10af	0x00008af8	0	LOCAL-PTRS
0x10b3	0x00008b2c	1	>LOC
0x10be	0x00008b58	0	PARMLIST
0x10c2	0x00008e9c	1	>#PARM
0x10c4	0x00008ec8	1	"FIRSTPARM
0x10c7	0x00008ef8	1	ADDPARM
0x10d0	0x00008f80	0	INPARMS
0x10d1	0x00008f90	0	LOCFLG
0x10d4	0x00008fa0	1	PARMS,
0x10e3	0x0000906c	1	FIRSTCHR
0x10e6	0x0000908c	1	(LOCAL)
0x10f1	0x000090d8	1	NEXTWORD
0x1121	0x000092fc	1	REVERSEARGS
0x1145	0x000094b0	1	PFIND
0x1156	0x00009590	1	(&LOCAL)
0x115f	0x00009654	1	PARMFIND
0x116d	0x000096c4	1	METHOD-HASH
0x1186	0x000096f0	1	((FINDM))
0x1196	0x00009718	0	M0CFA
0x11ac	0x00009734	0	M1CFA
0x11c3	0x00009750	1	UNNESTM
0x11d0	0x00009760	1	EXITM
0x11dd	0x00009770	1	UNNESTMP
0x11ee	0x00009784	1	_LOCALFREE
0x11f8	0x00009798	1	_LOCALALLOCP
0x1201	0x000097a8	1	_LOCALALLOC
0x122b	0x00009840	0	(&IV)
0x1237	0x00009850	0	(IVC@)
0x1243	0x00009868	0	(IVC!)
0x124e	0x0000987c	0	(IVC+!)
0x125b	0x00009890	0	(IVW@)
0x1267	0x000098a8	0	(IVW!)
0x1272	0x000098bc	0	(IVW+!)
0x127f	0x000098d0	0	(IV@)
0x128a	0x000098e4	0	(IV!)
0x1295	0x000098f8	0	(IV+!)
0x12a2	0x0000990c	0	(IVD@)
0x12af	0x00009924	0	(IVD!)
0x12bb	0x0000993c	0	(IVD+!)
0x12ca	0x00009958	0	SUBCLASS-WNDPROC
0x12cc	0x00009968	0	SUBCLASS-ENTRY
0x1320	0x000099f4	1	WNDPROC
0x1343	0x00009aa8	0	UNLOADFORTH
0x134f	0x00009abc	1	.S
0x1360	0x00009b9c	1	WAIT
0x1363	0x00009bd8	0	SCREENDELAY
0x1365	0x00009be8	0	DELAYS
0x1368	0x00009c00	1	_START/STOP
0x1370	0x00009c90	0	START/STOP
0x1372	0x00009ca0	1	NUF?
0x1375	0x00009cc4	1	H.R
0x137b	0x00009d40	1	H.N
0x1380	0x00009de0	1	H.2
0x1381	0x00009e04	1	H.4
0x1382	0x00009e28	1	H.8
0x1384	0x00009e4c	1	.NAME
0x138a	0x00009ee0	1	KWORDS
0x1396	0x00009fec	1	EMIT.
0x1399	0x0000a038	1	+NO-WRAP
0x13da	0x0000a244	0	DO-;CHAIN
0x7	0x0000a310	1	D
0x9	0x0000a32c	1	X
0x1	0x0000a40c	0	VERSION#
0x3	0x0019451c	0	_BEGIN
0x4	0x00194538	0	_THEN
0x5	0x00194554	0	_UNTIL
0x6	0x00194570	0	_AGAIN
0x7	0x0019458c	0	_WHILE
0x8	0x001945a8	0	_REPEAT
0x9	0x001945c4	0	_CASE
0xa	0x001945dc	0	_OF
0xb	0x001945f8	0	_ENDOF
0xc	0x00194618	0	_ENDCASE
0xd	0x00194634	0	(LOOP)
0xe	0x00194650	0	(+LOOP)
0xf	0x0019466c	0	(DO)
0x10	0x00194688	0	(?DO)
0x11	0x001946a0	0	LIT
0x3	0x001946e8	0	_COMMENT
0xe	0x001947c4	0	MULTI-LINE?
0x15	0x00194844	0	"COMMENT
0x26	0x00194a4c	0	//{{NO_DEPENDENCIES}}
0x3	0x0000a41c	0	.OPT?
0x5	0x0000a42c	1	^
0x7	0x0000a48c	1	(.OPT")
0xd	0x00194b9c	0	_?OPT-COMPILE,
0x125	0x0000a4d0	0	#INLINE-WORDS
0x126	0x0000a4e0	0	INLINE-XT-TABLE
0x127	0x0000a4f0	0	INLINE-OFA-TABLE
0x129	0x0000a500	1	CACHE-OFA@
0x133	0x00195c14	0	ADD-INLINE-WORD
0x139	0x00195c80	0	%BUILD-OFA-CACHE
0x147	0x00195d30	0	BUILD-OFA-CACHE
0x8	0x0000a560	1	ROLL
0xc	0x0000a598	1	CONVERT
0xf	0x0000a5b8	0	SPAN
0x11	0x0000a5c0	1	EXPECT
0x20	0x0000a5e4	1	EKEY>CHAR
0x23	0x0000a608	1	D0=
0x25	0x0000a620	0	PAGE
0x27	0x0000a630	0	EMIT?
0x29	0x0000a638	1	D>S
0x2b	0x0000a64c	1	CS-PICK
0x2e	0x0000a674	1	CS-ROLL
0x34	0x0000a6a0	1	SAVE-INPUT
0x3d	0x0000a6ec	1	RESTORE-INPUT
0x47	0x0000a73c	0	DUMPC@
0x49	0x00196448	0	DUMP
0x55	0x00196600	0	DM
0x58	0x0000a74c	1	APPINST
0x59	0x0000a764	1	CMDLINE
0x5a	0x0000a784	1	&CMDLINE
0x5b	0x0000a79c	1	_CONHNDL
0x5c	0x0000a7b4	1	EXCEPTION@
0x5e	0x0000a7cc	0	CONHNDL
0x60	0x0000a7dc	0	NULL
0x62	0x0000a7e4	0	CRLF$
0x68	0x0000a7ec	0	'EXIT
0x6a	0x0000a7f4	0	DOCLASS
0x6b	0x0000a804	0	DO|CLASS
0x6d	0x0000a814	0	HAVE-KERNEL.BIN?
0x70	0x0000a824	1	BREAKER
0x73	0x0000a83c	1	APP-FREE
0x76	0x0000a874	1	APP-FREE!
0x82	0x0000aa5c	1	SYS-FREE
0x87	0x0000aaa0	1	SYS-FREE!
0x8d	0x0000aae8	1	$FLOAD
0x90	0x0000ab08	1	"FLOAD
0x94	0x001968fc	0	MAKEDEFER
0x98	0x0019694c	0	SYNONYM
0x9f	0x00009c90	0	STOP/START
0xa1	0x000033d4	0	AT-XY
0xa3	0x0000ab20	1	_BEEP
0xa6	0x0000ab40	0	BEEP
0xa7	0x0000ab50	0	>BOLD
0xa8	0x0000ab60	0	>NORM
0xaa	0x0000ab70	0	VOC-ALSO
0xab	0x0000ab80	0	"MESSAGE
0xac	0x0000ab90	0	"TOP-MESSAGE
0xad	0x0000aba0	0	MESSAGE-OFF
0xae	0x0000abb0	0	WIN32FORTH-MESSAGE
0xaf	0x0000abc0	0	DEFAULTWINDOWPROC
0xb0	0x0000abd0	0	.RSTACK
0xb1	0x0000abe0	0	RESETSRCINFO
0xb2	0x0000abf0	0	SAVE-SOURCE
0xbb	0x0000ac00	1	_\N->CRLF
0xc5	0x0000ac7c	1	-NULL,
0xcb	0x0000acd8	1	+NULL
0xce	0x0000ad08	1	(Z")
0xda	0x0000ad20	1	Z",
0xdf	0x0000ad8c	1	Z,"
0xe2	0x0000adac	1	+Z,"
0xe5	0x0000adc8	1	+Z",
0xe8	0x0000ade4	1	NOT
0xea	0x0000adfc	1	GET-COMMANDLINE
0xf1	0x00196d58	0	CFA-FUNC
0xf3	0x00196dac	0	ENTER-ASSEMBLER
0xf4	0x00196ddc	0	EXIT-ASSEMBLER
0xf6	0x00196e08	0	CFA-CODE
0xf9	0x00196e48	0	CFA-COMP,
0x102	0x0000ae38	1	_IS-DEFAULT
0x115	0x0000381c	0	SP>COL
0x117	0x0000ae54	1	COLS
0x11a	0x0000ae70	1	ROWS
0x11d	0x0000ae8c	0	ACCEPT-CNT
0x11f	0x0000ae9c	1	HIWORD
0x122	0x0000aeb4	1	LOWORD
